age,city,country,education_среднее
36,1201,32,1.0
35,1134,32,1.0
52,1188,32,1.0
37,1198,32,1.0
48,1134,32,1.0
39,1190,32,1.0
44,1134,32,1.0
40,1155,32,1.0
49,1198,32,1.0
53,1188,32,1.0
33,574,32,1.0
19,1198,32,0.0
44,1178,32,1.0
40,1178,32,1.0
20,1157,32,0.0
44,1203,32,1.0
17,1137,32,0.0
37,1201,32,1.0
50,1204,32,1.0
55,1157,32,1.0
21,1188,32,0.0
35,1188,32,0.0
34,1134,32,1.0
38,1134,32,1.0
29,1187,32,0.0
62,1181,32,1.0
41,1172,32,1.0
35,1204,32,1.0
31,1162,32,1.0
43,1134,32,1.0
34,1185,32,1.0
34,1177,32,1.0
39,1203,32,1.0
35,1134,32,1.0
38,1168,32,1.0
31,1177,32,1.0
31,1185,32,0.0
41,1204,32,1.0
34,1207,32,1.0
31,1166,32,1.0
16,1191,32,0.0
38,1134,32,1.0
39,1187,32,1.0
52,1202,32,1.0
37,1188,32,1.0
32,1181,32,1.0
20,1179,32,0.0
48,1190,32,1.0
48,1179,32,1.0
21,913,32,0.0
48,1204,32,1.0
18,1190,32,0.0
38,1188,32,1.0
31,1134,32,1.0
62,1134,32,1.0
30,1157,32,0.0
33,1134,32,1.0
23,1154,32,0.0
25,1179,32,0.0
33,1134,32,1.0
29,1134,32,1.0
18,74,32,0.0
42,1188,32,1.0
32,1205,32,1.0
55,1188,32,1.0
42,1188,32,1.0
24,1134,32,0.0
62,1178,32,1.0
63,1134,32,1.0
34,1134,32,1.0
45,1185,32,1.0
44,1134,32,1.0
31,1134,32,1.0
62,1188,32,1.0
34,1201,32,1.0
40,1134,32,1.0
19,1188,32,0.0
36,1188,32,1.0
33,1167,32,1.0
56,1207,32,1.0
43,1159,32,1.0
44,1157,32,1.0
40,1188,32,1.0
32,1134,32,1.0
58,1167,32,1.0
35,1134,32,1.0
22,1201,32,1.0
20,1190,32,0.0
34,1134,32,1.0
31,1168,32,0.0
34,1188,32,1.0
45,1134,32,1.0
21,1141,32,0.0
50,1168,32,1.0
34,1201,32,1.0
16,1142,32,0.0
21,1180,32,0.0
39,1134,32,1.0
39,1134,32,1.0
37,1134,32,1.0
34,1177,32,1.0
47,1150,32,1.0
24,1201,32,0.0
27,1134,32,1.0
24,1134,32,0.0
23,1150,32,0.0
51,1201,32,1.0
28,1188,32,1.0
43,1134,32,1.0
26,1134,32,1.0
33,1187,32,1.0
54,1134,32,1.0
36,1160,32,1.0
44,1134,32,1.0
31,1188,32,1.0
36,1134,32,1.0
42,1188,32,1.0
54,1179,32,1.0
16,1202,32,0.0
32,1204,32,1.0
28,1134,32,1.0
28,1199,32,1.0
39,1177,32,0.0
17,1188,32,0.0
37,609,32,1.0
18,1134,32,0.0
53,1154,32,1.0
38,1134,32,1.0
50,1188,32,1.0
55,1186,32,1.0
19,1157,32,0.0
23,1134,32,0.0
34,1151,32,1.0
42,1157,32,1.0
54,1134,32,1.0
23,1165,32,0.0
51,1178,32,1.0
19,1185,32,0.0
23,1157,32,0.0
31,1201,32,1.0
38,1188,32,1.0
42,1134,32,1.0
29,1179,32,1.0
33,1134,32,1.0
40,1134,32,1.0
37,1157,32,1.0
37,1188,32,1.0
34,1134,32,1.0
18,1177,32,0.0
42,1134,32,1.0
48,1188,32,1.0
37,1134,32,1.0
35,1204,32,1.0
49,1134,32,1.0
42,1196,32,1.0
37,1134,32,1.0
47,1186,32,1.0
36,1134,32,1.0
54,1188,32,1.0
40,1134,32,1.0
45,1177,32,1.0
57,1188,32,1.0
22,1188,32,0.0
49,1194,32,0.0
34,1134,32,1.0
37,1185,32,1.0
